clase,cap-shape,cap-surface,cap-color,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-color,ring-number,ring-type,spore-print-color,population,habitat,bruises
0,convex,smooth,yellow,almond,free,close,broad,black,enlarging,club,smooth,smooth,white,white.,white,one,pendant,brown,numerous,grasses,Presenta
0,bell,smooth,white,anise,free,close,broad,brown,enlarging,club,smooth,smooth,white,white.,white,one,pendant,brown,numerous,meadows,Presenta
0,convex,smooth,green,almond,free,crowded,broad,black,tapering,equal,smooth,smooth,white,white.,white,one,evanescent,brown,abundant,grasses,No presenta
0,convex,scaly,yellow,almond,free,close,broad,brown,enlarging,club,smooth,smooth,white,white.,white,one,pendant,black,numerous,grasses,Presenta
0,bell,smooth,white,almond,free,close,broad,gray,enlarging,club,smooth,smooth,white,white.,white,one,pendant,black,numerous,meadows,Presenta
0,bell,scaly,white,anise,free,close,broad,brown,enlarging,club,smooth,smooth,white,white.,white,one,pendant,brown,scattered,meadows,Presenta
1,convex,scaly,white,pungent,free,close,narrow,pink,enlarging,equal,smooth,smooth,white,white.,white,one,pendant,black,several,grasses,Presenta
0,bell,smooth,yellow,almond,free,close,broad,gray,enlarging,club,smooth,smooth,white,white.,white,one,pendant,black,scattered,meadows,Presenta
0,convex,scaly,yellow,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white.,white,one,pendant,brown,numerous,grasses,Presenta
0,convex,scaly,yellow,almond,free,close,broad,brown,enlarging,club,smooth,smooth,white,white.,white,one,pendant,black,scattered,meadows,Presenta
0,bell,smooth,yellow,almond,free,close,broad,white,enlarging,club,smooth,smooth,white,white.,white,one,pendant,brown,scattered,grasses,Presenta
1,convex,scaly,white,pungent,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white.,white,one,pendant,brown,several,urban,Presenta
0,convex,fibrous,brown,almond,free,crowded,broad,brown,tapering,equal,smooth,fibrous,white,white.,white,one,evanescent,black,abundant,grasses,No presenta
0,sunken,fibrous,green,almond,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white.,white,one,pendant,brown,solitary,urban,No presenta
1,convex,smooth,brown,pungent,free,close,narrow,brown,enlarging,equal,smooth,smooth,white,white.,white,one,pendant,black,scattered,grasses,Presenta
1,convex,scaly,white,pungent,free,close,narrow,brown,enlarging,equal,smooth,smooth,white,white.,white,one,pendant,brown,scattered,urban,Presenta
1,convex,smooth,brown,pungent,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white.,white,one,pendant,brown,scattered,urban,Presenta
0,bell,smooth,yellow,almond,free,close,broad,black,enlarging,club,smooth,smooth,white,white.,white,one,pendant,brown,scattered,meadows,Presenta
0,bell,scaly,yellow,anise,free,close,broad,black,enlarging,club,smooth,smooth,white,white.,white,one,pendant,brown,scattered,meadows,Presenta
0,convex,scaly,yellow,almond,free,close,broad,brown,enlarging,club,smooth,smooth,white,white.,white,one,pendant,brown,numerous,meadows,Presenta
0,convex,scaly,white,anise,free,close,broad,white,enlarging,club,smooth,smooth,white,white.,white,one,pendant,brown,numerous,meadows,Presenta
0,flat,fibrous,brown,anise,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white.,white,one,pendant,black,solitary,urban,No presenta
0,bell,smooth,yellow,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white.,white,one,pendant,brown,numerous,meadows,Presenta
0,convex,scaly,brown,anise,free,close,broad,pink,enlarging,rooted,smooth,scaly,white,white.,white,one,pendant,brown,solitary,paths,Presenta
0,sunken,fibrous,green,anise,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white.,white,one,pendant,black,several,urban,No presenta
0,convex,fibrous,yellow,almond,free,crowded,narrow,pink,tapering,bulbous,smooth,smooth,white,white.,white,one,pendant,brown,several,wood,Presenta
